Process Name	Seconds(ms)	CPU(%)	Memory(MB)
GeneticCars	404000	0	296.4
GeneticCars	405000	0.1265103	296.4
GeneticCars	406000	0.2530206	296.14
GeneticCars	407000	0.5065333	296.14
GeneticCars	408000	0.5050592	296.14
GeneticCars	409000	0.2530206	296.14
GeneticCars	410000	0.1265102	296.14
GeneticCars	411000	1.771144	296.14
GeneticCars	412000	0.1265708	296.14
GeneticCars	413000	1.13637	296.14
GeneticCars	414000	0.3793282	296.14
GeneticCars	415000	0.5060405	296.14
GeneticCars	416000	0.1265104	296.14
GeneticCars	417000	0.1262648	296.14
GeneticCars	418000	0.6307121	296.14
GeneticCars	419000	1.391239	296.14
GeneticCars	420000	0.126519	296.14
GeneticCars	421000	0.5051904	296.14
GeneticCars	422000	0.2528476	296.14
GeneticCars	423000	0.1262896	296.14
GeneticCars	424000	1.391913	296.14
GeneticCars	425000	1.516919	296.14
GeneticCars	426000	0.5057544	296.14
GeneticCars	427000	0.1264119	296.14
GeneticCars	428000	0	296.14
GeneticCars	429000	0.3788377	296.14
GeneticCars	430000	1.011479	296.14
GeneticCars	431000	0.7580497	296.14
GeneticCars	432000	2.02193	296.14
GeneticCars	433000	2.525298	296.14
GeneticCars	434000	0.5055497	296.14
GeneticCars	435000	0.8831438	296.14
GeneticCars	436000	0.8847123	296.14
GeneticCars	437000	0.8847186	296.13
GeneticCars	438000	1.391695	296.13
GeneticCars	439000	0.5062657	296.13
GeneticCars	440000	0.758984	296.13
GeneticCars	441000	4.167007	296.13
GeneticCars	442000	1.770142	296.13
GeneticCars	443000	2.022199	296.13
GeneticCars	444000	0.7593547	296.13
GeneticCars	445000	1.388791	296.13
GeneticCars	446000	1.012082	296.13
GeneticCars	447000	0.2528304	296.13
GeneticCars	448000	0.6297103	296.13
GeneticCars	449000	0.8844053	296.14
GeneticCars	450000	0.7574058	296.21
GeneticCars	451000	0.8848068	296.21
GeneticCars	452000	1.137611	296.21
GeneticCars	453000	1.896431	296.21
GeneticCars	454000	3.040687	296.21
GeneticCars	455000	1.261514	296.21
GeneticCars	456000	0.7566593	296.21
GeneticCars	457000	1.642524	296.21
GeneticCars	458000	0.5061625	296.21
GeneticCars	459000	1.262951	296.21
GeneticCars	460000	1.263652	296.21
GeneticCars	461000	2.770398	296.21
GeneticCars	462000	0.7587674	295.87
GeneticCars	463000	1.768447	295.87
GeneticCars	464000	1.26275	295.87
GeneticCars	465000	1.136772	295.87
GeneticCars	466000	3.284607	295.87
GeneticCars	467000	1.259939	295.87
GeneticCars	468000	0.7540846	295.97
GeneticCars	469000	0.7578394	295.97
GeneticCars	470000	0.8815176	295.97
GeneticCars	471000	2.762682	295.97
GeneticCars	472000	2.275136	295.97
GeneticCars	473000	0.7573894	295.97
GeneticCars	474000	1.894884	295.97
GeneticCars	475000	0.1261531	295.97
GeneticCars	476000	2.15292	295.97
GeneticCars	477000	1.894545	295.97
GeneticCars	478000	1.011099	295.97
GeneticCars	479000	1.390865	295.97
GeneticCars	480000	0.2529982	295.97
GeneticCars	481000	2.778248	295.97
GeneticCars	482000	2.402356	295.97
GeneticCars	483000	1.13702	295.97
GeneticCars	484000	0.6325515	295.97
GeneticCars	485000	0.3786384	295.97
GeneticCars	486000	1.769423	295.97
GeneticCars	487000	2.272308	295.97
GeneticCars	488000	0	295.97
GeneticCars	489000	0.8829249	295.97
GeneticCars	490000	1.769423	295.97
GeneticCars	491000	0.6312743	295.97
GeneticCars	492000	1.757235	295.97
GeneticCars	493000	0.629563	295.97
GeneticCars	494000	1.385818	295.97
GeneticCars	495000	2.270175	295.97
GeneticCars	496000	1.264421	295.97
GeneticCars	497000	1.7694	295.97
GeneticCars	498000	1.390262	295.97
GeneticCars	499000	1.388097	295.97
GeneticCars	500000	0.6313719	295.97
GeneticCars	501000	0.5035726	295.97
GeneticCars	502000	0.8832836	295.97
GeneticCars	503000	0.5055583	295.97
GeneticCars	504000	0.6325511	295.98
GeneticCars	505000	2.273095	295.98
GeneticCars	506000	2.022554	295.98
GeneticCars	507000	1.26272	295.98
GeneticCars	508000	2.024165	296.06
GeneticCars	509000	0.7583242	296.13
GeneticCars	510000	2.150363	296.13
GeneticCars	511000	1.38818	296.13
GeneticCars	512000	1.511169	296.13
GeneticCars	513000	0.3779012	296.13
GeneticCars	514000	0.8842673	296.13
GeneticCars	515000	0.2523005	296.13
GeneticCars	516000	1.011282	296.13
GeneticCars	517000	2.021672	296.13
GeneticCars	518000	0.3792261	296.13
GeneticCars	519000	0.8829501	296.13
GeneticCars	520000	0.8868148	296.13
GeneticCars	521000	1.89482	296.13
GeneticCars	522000	1.13738	296.13
GeneticCars	523000	2.781801	296.13
GeneticCars	524000	0.8855717	296.13
GeneticCars	525000	1.894161	296.13
GeneticCars	526000	0.88471	296.13
GeneticCars	527000	0.8829696	296.13
GeneticCars	528000	0.3789705	296.13
GeneticCars	529000	2.149441	296.13
GeneticCars	530000	1.136384	296.13
GeneticCars	531000	2.531349	296.13
GeneticCars	532000	2.654593	296.13
GeneticCars	533000	1.130453	296.13
GeneticCars	534000	2.012505	296.13
GeneticCars	535000	1.26255	296.13
GeneticCars	536000	1.011351	296.13
GeneticCars	537000	4.292375	296.13
GeneticCars	538000	1.514819	296.13
